drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
VUDALIMAB,ULTRASOUND ABDOMEN ABNORMAL,5,5,5,0,0,385273,5,0.5,0.5,385273,700497.2727272727,7705460.0,385278.0,138778.41244398337,427833931.5602549,🔴 Strong
AFINITOR DISPERZ,STOMATITIS HAEMORRHAGIC,4,4,4,0,0,385274,4,0.5,0.5,385274,684932.4444444444,6164384.0,385278.0,108407.65935386952,350525325.66371334,🔴 Strong
DICLOFENAC POTASSIUM\METAXALONE,STOMATITIS HAEMORRHAGIC,4,4,4,0,0,385274,4,0.5,0.5,385274,684932.4444444444,6164384.0,385278.0,108407.65935386952,350525325.66371334,🔴 Strong
ILOPERIDONE,SYDENHAM'S CHOREA,4,4,4,0,0,385274,4,0.5,0.5,385274,684932.4444444444,6164384.0,385278.0,108407.65935386952,350525325.66371334,🔴 Strong
CYCLOPHOSPHAMIDE\EPIRUBICIN HYDROCHLORIDE\FLUOROURACIL,GLOSSOPHARYNGEAL NERVE PARALYSIS,3,3,3,0,0,385275,3,0.5,0.5,385275,660472.2857142857,4623300.0,385278.0,78163.08161234195,273465457.7209618,🔴 Strong
APLISOL,FALSE POSITIVE TUBERCULOSIS TEST,9,11,9,2,0,385267,9,2.0,0.5,385267,630437.7272727274,3467403.0,315225.8181435923,146058.72449468865,82315408.44960745,🔴 Strong
ERDOSTEINE,COAGULATION FACTOR X LEVEL ABNORMAL,4,5,4,1,0,385273,4,1.0,0.5,385273,616437.6,3082184.0,308221.5999916942,90012.81550314055,105538951.94539864,🔴 Strong
GLYCERIN\MINERAL OIL\PETROLATUM,AVOIDANT PERSONALITY DISORDER,3,4,3,1,0,385274,3,1.0,0.5,385274,577911.75,2311644.0,288957.74999416,64538.29723108363,82798868.4548421,🔴 Strong
METEOSPASMYL (ALVERINE CITRATE\DIMETHICONE),AVOIDANT PERSONALITY DISORDER,3,4,3,1,0,385274,3,1.0,0.5,385274,577911.75,2311644.0,288957.74999416,64538.29723108363,82798868.4548421,🔴 Strong
PHYLLOCONTIN,AMYLOID ARTHROPATHY,17,24,17,7,0,385254,17,7.0,0.5,385254,545777.2083333334,1871233.7142857143,-31718.9660733512,102114.1674876104,34290203.7947316,🟢 Weak
MYCAMINE,LYMPHOID TISSUE HYPOPLASIA,3,5,3,2,0,385273,3,2.0,0.5,385273,462328.2,1155819.0,231165.599990656,42665.53016876113,31311401.86180402,🔴 Strong
MYCAMINE,THYMUS HYPOPLASIA,3,5,3,2,0,385273,3,2.0,0.5,385273,462328.2,1155819.0,231165.599990656,42665.53016876113,31311401.86180402,🔴 Strong
SMECTA,AVOIDANT PERSONALITY DISORDER,3,5,3,2,0,385273,3,2.0,0.5,385273,462328.2,1155819.0,231165.599990656,42665.53016876113,31311401.86180402,🔴 Strong
ZINECARD,LYMPHOID TISSUE HYPOPLASIA,3,5,3,2,0,385273,3,2.0,0.5,385273,462328.2,1155819.0,231165.599990656,42665.53016876113,31311401.86180402,🔴 Strong
ZINECARD,THYMUS HYPOPLASIA,3,5,3,2,0,385273,3,2.0,0.5,385273,462328.2,1155819.0,231165.599990656,42665.53016876113,31311401.86180402,🔴 Strong
CAPLACIZUMAB,PLACENTAL OEDEMA,4,7,4,3,0,385271,4,3.0,0.5,385271,440310.2857142857,1027389.3333333334,220157.1428393448,44014.33624503569,23981478.134096965,🔴 Strong
CLEMASTINE,ELECTROCARDIOGRAM T WAVE BIPHASIC,3,6,3,3,0,385272,3,3.0,0.5,385272,385272.5,770544.0,192637.49998832,31388.09258651028,18916028.56400309,🔴 Strong
FASTURTEC,LYMPHOID TISSUE HYPOPLASIA,3,6,3,3,0,385272,3,3.0,0.5,385272,385272.5,770544.0,192637.49998832,31388.09258651028,18916028.56400309,🔴 Strong
FASTURTEC,THYMUS HYPOPLASIA,3,6,3,3,0,385272,3,3.0,0.5,385272,385272.5,770544.0,192637.49998832,31388.09258651028,18916028.56400309,🔴 Strong
TIROFIBAN,CORONARY OSTIAL STENOSIS,3,6,3,3,0,385272,3,3.0,0.5,385272,385272.5,770544.0,192637.49998832,31388.09258651028,18916028.56400309,🔴 Strong
PARAGARD T 380A,REPRODUCTIVE COMPLICATION ASSOCIATED WITH DEVICE,323,646,323,323,0,384632,323,323.0,0.5,384632,384632.5,769264.0,219.02995036677615,47908.183994028346,12352108.812343264,🔴 Strong
PENFLURIDOL,PAROXYSMAL PERCEPTUAL ALTERATION,17,17,18,0,1,385260,17,0.5,1.0,385260,374253.54285714286,13098840.0,-42279.96236870111,425105.317032474,403616709.7211188,🟢 Weak
PIRETANIDE\RAMIPRIL,OSTEORRHAGIA,9,9,10,0,1,385268,9,0.5,1.0,385268,364991.6842105264,6934824.0,346749.29997897573,218589.2647255872,220009815.9959937,🔴 Strong
ALPHA LIPOIC ACID,CERVICOGENIC HEADACHE,8,8,9,0,1,385269,8,0.5,1.0,385269,362607.0588235294,6164304.0,342468.44442598696,192810.1155051604,197078061.51591173,🔴 Strong
CORGARD,NEOVASCULARISATION,6,6,7,0,1,385271,6,0.5,1.0,385271,355635.6923076923,4623252.0,330237.42855807993,141317.14795437286,151251701.33213508,🔴 Strong
NARATRIPTAN HYDROCHLORIDE,NEOVASCULARISATION,6,6,7,0,1,385271,6,0.5,1.0,385271,355635.6923076923,4623252.0,330237.42855807993,141317.14795437286,151251701.33213508,🔴 Strong
DEVICE\YTTRIUM Y-90,PURE WHITE CELL APLASIA,5,5,6,0,1,385272,5,0.5,1.0,385272,350248.1818181818,3852720.0,321064.1666558519,115628.060037564,128372398.47817086,🔴 Strong
