Drug,Reaction,A,B,C,D,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
BUSULFAN,BACTERIAL INFECTION,4,0,0,246,438.222,3936.0,250.0,69.085,224245.274,🔴 Strong
MELPHALAN,BACTERIAL INFECTION,4,0,0,246,438.222,3936.0,250.0,69.085,224245.274,🔴 Strong
NAPROXEN SODIUM,SYNOVITIS,4,0,0,246,438.222,3936.0,250.0,69.085,224245.274,🔴 Strong
ABATACEPT,CONTRAINDICATED PRODUCT ADMINISTERED,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
CIMZIA,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
CIMZIA,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
CORTISONE ACETATE,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
CORTISONE ACETATE,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
DESOXIMETASONE,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
DESOXIMETASONE,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,ACUTE MYELOID LEUKAEMIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,ACUTE PULMONARY OEDEMA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,CHOLECYSTITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,CHRONIC MYELOMONOCYTIC LEUKAEMIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,DECUBITUS ULCER,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,DERMATITIS ACNEIFORM,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,DEVICE RELATED INFECTION,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,ENTEROCOLITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,GENERALISED OEDEMA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,HYPERKALAEMIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,MARROW HYPERPLASIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,NEUROMUSCULAR TOXICITY,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,PULMONARY ARTERIAL HYPERTENSION,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,SKIN TOXICITY,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,STAPHYLOCOCCAL SEPSIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,TOXIC SKIN ERUPTION,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FEMARA,UPPER RESPIRATORY FUNGAL INFECTION,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FIRAZYR,HEREDITARY ANGIOEDEMA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FOSAMAX,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
FOSAMAX,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
GOLIMUMAB,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
GOLIMUMAB,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
KEVZARA,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
KEVZARA,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
PHTHALYLSULFATHIAZOLE,PERICARDITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
PHTHALYLSULFATHIAZOLE,TYPE 2 DIABETES MELLITUS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,ACUTE MYELOID LEUKAEMIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,ACUTE PULMONARY OEDEMA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,CHOLECYSTITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,CHRONIC MYELOMONOCYTIC LEUKAEMIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,DECUBITUS ULCER,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,DERMATITIS ACNEIFORM,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,DEVICE RELATED INFECTION,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,ENTEROCOLITIS,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,GENERALISED OEDEMA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,HYPERKALAEMIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,MARROW HYPERPLASIA,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,NEUROMUSCULAR TOXICITY,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,PULMONARY ARTERIAL HYPERTENSION,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
TAMOXIFEN CITRATE,SKIN TOXICITY,3,0,0,247,424.286,2964.0,250.0,50.015,175653.025,🔴 Strong
