A,B,C,D,PRR,ROR,Label
15450,354997,250459,16501141,2.789,2.867,1
14271,356176,131739,16619861,4.899,5.055,1
12570,357877,99172,16652428,5.732,5.898,1
12475,357972,38784,16712816,14.545,15.017,1
9277,176465,256632,16679673,3.296,3.417,1
8958,176784,137052,16799253,5.96,6.211,1
8351,362096,105923,16645677,3.565,3.624,1
8301,157086,76501,16880159,11.125,11.66,1
7331,143709,258578,16712429,3.186,3.297,1
7316,639859,258593,16216279,0.72,0.717,0
7285,178457,104457,16831848,6.359,6.578,1
6977,363470,46858,16704742,6.733,6.843,1
6958,158429,894,16955766,797.969,832.971,1
6889,50344,20957,17043857,98.013,111.288,1
6259,323690,259650,16532448,1.227,1.231,0
6065,179677,45194,16891111,12.237,12.616,1
5835,509476,260074,16346662,0.723,0.72,0
5813,641362,180716,16294156,0.819,0.817,0
5579,159808,107496,16849164,5.321,5.472,1
5486,641689,106256,16368616,1.314,1.317,0
5365,641810,99076,16375796,1.378,1.382,0
5333,160054,9487,16947173,57.634,59.521,1
5325,641850,93656,16381216,1.447,1.451,0
5319,145721,28454,16942553,21.004,21.734,1
5282,641893,73797,16401075,1.822,1.829,0
5275,641900,72983,16401889,1.84,1.847,0
5255,180487,109019,16827286,4.395,4.494,1
5199,641976,74043,16400829,1.787,1.794,0
5192,145848,35645,16935362,16.366,16.913,1
5174,642001,80367,16394505,1.639,1.644,0
5170,642005,74198,16400674,1.774,1.78,0
5143,642032,70850,16404022,1.848,1.855,0
5134,510177,91621,16515115,1.806,1.814,0
5133,642042,85718,16389154,1.524,1.529,0
5132,642043,73512,16401360,1.777,1.783,0
5121,642054,80877,16393995,1.612,1.617,0
5104,145936,113971,16857036,5.032,5.173,1
5074,642101,112488,16362384,1.148,1.149,0
5069,62654,22777,17031547,56.043,60.497,1
5040,160347,15427,16941233,33.496,34.517,1
4974,642201,82072,16392800,1.543,1.547,0
4923,384571,260986,16471567,0.81,0.808,0
4907,180835,48928,16887377,9.145,9.366,1
4898,642277,71563,16403309,1.742,1.748,0
4894,160493,112668,16843992,4.454,4.559,1
4892,642283,69497,16405375,1.792,1.798,0
4852,365595,31970,16719630,6.863,6.941,1
4820,460337,261089,16395801,0.661,0.658,0
4798,642377,141462,16333410,0.863,0.862,0
4788,642387,68211,16406661,1.787,1.793,0
4774,642401,109500,16365372,1.11,1.111,0
4766,642409,108998,16365874,1.113,1.114,0
4712,642463,85842,16389030,1.397,1.4,0
4707,642468,87917,16386955,1.363,1.366,0
4700,642475,144630,16330242,0.827,0.826,0
4685,642490,75415,16399457,1.581,1.586,0
4677,642498,141333,16333539,0.842,0.841,0
4634,642541,92545,16382327,1.275,1.277,0
4620,642555,63329,16411543,1.857,1.863,0
4571,510740,141689,16465047,1.04,1.04,0
